source_type,assigned_species,dest_path,source_path,original_primary_label
train_audio,grekis,data/train_upsampled_species/grekis/iNat339880_seg0.ogg,data/train_audio_upsampled/grekis/iNat339880_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat1593366_seg0.ogg,data/train_audio_upsampled/grekis/iNat1593366_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat546709_seg0.ogg,data/train_audio_upsampled/grekis/iNat546709_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat811025_seg0.ogg,data/train_audio_upsampled/grekis/iNat811025_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/XC47777_seg0.ogg,data/train_audio_upsampled/grekis/XC47777_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat1081911_seg0.ogg,data/train_audio_upsampled/grekis/iNat1081911_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat985909_seg0.ogg,data/train_audio_upsampled/grekis/iNat985909_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/XC1031764_seg0.ogg,data/train_audio_upsampled/grekis/XC1031764_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat748806_seg0.ogg,data/train_audio_upsampled/grekis/iNat748806_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/XC947507_seg0.ogg,data/train_audio_upsampled/grekis/XC947507_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat1690035_seg0.ogg,data/train_audio_upsampled/grekis/iNat1690035_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/XC217277_seg0.ogg,data/train_audio_upsampled/grekis/XC217277_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/iNat30463_seg0.ogg,data/train_audio_upsampled/grekis/iNat30463_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/XC169840_seg0.ogg,data/train_audio_upsampled/grekis/XC169840_seg0.ogg,grekis
train_audio,grekis,data/train_upsampled_species/grekis/XC499046_seg0.ogg,data/train_audio_upsampled/grekis/XC499046_seg0.ogg,grekis
