primary_label,filename,source_file,segment_index,source_duration_sec,start_sec,was_secondary
grekis,grekis/iNat339880_seg0.ogg,grekis/iNat339880.ogg,0,19.184,9.069,False
grekis,grekis/iNat1593366_seg0.ogg,grekis/iNat1593366.ogg,0,29.327,0.608,False
grekis,grekis/iNat546709_seg0.ogg,grekis/iNat546709.ogg,0,21.577,4.559,False
grekis,grekis/iNat811025_seg0.ogg,grekis/iNat811025.ogg,0,18.46,3.004,False
grekis,grekis/XC47777_seg0.ogg,grekis/XC47777.ogg,0,23.536,13.651,False
grekis,grekis/iNat1081911_seg0.ogg,grekis/iNat1081911.ogg,0,10.495,3.718,False
grekis,grekis/iNat985909_seg0.ogg,grekis/iNat985909.ogg,0,8.931,3.507,False
grekis,grekis/XC1031764_seg0.ogg,grekis/XC1031764.ogg,0,30.0,2.173,False
grekis,grekis/iNat748806_seg0.ogg,grekis/iNat748806.ogg,0,30.0,10.548,False
grekis,grekis/XC947507_seg0.ogg,grekis/XC947507.ogg,0,21.325,0.486,False
grekis,grekis/iNat1690035_seg0.ogg,grekis/iNat1690035.ogg,0,0.104,0.0,False
grekis,grekis/XC217277_seg0.ogg,grekis/XC217277.ogg,0,27.576,4.936,False
grekis,grekis/iNat30463_seg0.ogg,grekis/iNat30463.ogg,0,3.474,0.0,False
grekis,grekis/XC169840_seg0.ogg,grekis/XC169840.ogg,0,12.304,3.691,False
grekis,grekis/XC499046_seg0.ogg,grekis/XC499046.ogg,0,8.136,0.083,False
grekis,grekis/iNat852130_seg0.ogg,grekis/iNat852130.ogg,0,4.512,0.0,False
grekis,grekis/iNat1277074_seg0.ogg,grekis/iNat1277074.ogg,0,16.44,2.275,False
grekis,grekis/iNat1132872_seg0.ogg,grekis/iNat1132872.ogg,0,3.878,0.0,False
grekis,grekis/iNat1691765_seg0.ogg,grekis/iNat1691765.ogg,0,6.12,0.0,False
grekis,grekis/iNat144827_seg0.ogg,grekis/iNat144827.ogg,0,16.091,7.208,False
grekis,grekis/XC393268_seg0.ogg,grekis/XC393268.ogg,0,21.264,8.863,False
grekis,grekis/XC210230_seg0.ogg,grekis/XC210230.ogg,0,7.158,0.0,False
grekis,grekis/iNat577376_seg0.ogg,grekis/iNat577376.ogg,0,10.632,1.242,False
grekis,grekis/iNat59605_seg0.ogg,grekis/iNat59605.ogg,0,19.224,8.382,False
grekis,grekis/iNat1624362_seg0.ogg,grekis/iNat1624362.ogg,0,5.944,0.0,False
grekis,grekis/iNat574465_seg0.ogg,grekis/iNat574465.ogg,0,24.277,15.604,False
grekis,grekis/iNat1209311_seg0.ogg,grekis/iNat1209311.ogg,0,23.02,0.117,False
grekis,grekis/XC341384_seg0.ogg,grekis/XC341384.ogg,0,30.0,20.145,False
grekis,grekis/XC393272_seg0.ogg,grekis/XC393272.ogg,0,4.415,0.0,False
grekis,grekis/iNat766949_seg0.ogg,grekis/iNat766949.ogg,0,29.907,17.389,False
grekis,grekis/XC1000546_seg0.ogg,grekis/XC1000546.ogg,0,28.419,7.968,False
grekis,grekis/iNat929981_seg0.ogg,grekis/iNat929981.ogg,0,14.768,1.519,False
grekis,grekis/XC514681_seg0.ogg,grekis/XC514681.ogg,0,30.0,23.93,False
grekis,grekis/iNat546250_seg0.ogg,grekis/iNat546250.ogg,0,14.791,3.296,False
grekis,grekis/XC144473_seg0.ogg,grekis/XC144473.ogg,0,30.0,2.319,False
grekis,grekis/XC834187_seg0.ogg,grekis/XC834187.ogg,0,30.0,2.418,False
grekis,grekis/XC789365_seg0.ogg,grekis/XC789365.ogg,0,30.0,21.187,False
grekis,grekis/XC720_seg0.ogg,grekis/XC720.ogg,0,5.277,0.0,False
grekis,grekis/XC518544_seg0.ogg,grekis/XC518544.ogg,0,30.0,15.093,False
grekis,grekis/iNat396082_seg0.ogg,grekis/iNat396082.ogg,0,30.0,20.178,False
grekis,grekis/iNat1294926_seg0.ogg,grekis/iNat1294926.ogg,0,22.024,12.423,False
grekis,grekis/XC210231_seg0.ogg,grekis/XC210231.ogg,0,30.0,13.406,False
grekis,grekis/XC788779_seg0.ogg,grekis/XC788779.ogg,0,30.0,24.328,False
grekis,grekis/XC541411_seg0.ogg,grekis/XC541411.ogg,0,3.265,0.0,False
grekis,grekis/iNat1104395_seg0.ogg,grekis/iNat1104395.ogg,0,30.0,9.463,False
grekis,grekis/XC358314_seg0.ogg,grekis/XC358314.ogg,0,10.056,2.791,False
grekis,grekis/XC955494_seg0.ogg,grekis/XC955494.ogg,0,15.935,9.069,False
grekis,grekis/iNat48089_seg0.ogg,grekis/iNat48089.ogg,0,3.735,0.0,False
grekis,grekis/iNat155593_seg0.ogg,grekis/iNat155593.ogg,0,17.472,7.714,False
grekis,grekis/iNat74982_seg0.ogg,grekis/iNat74982.ogg,0,10.524,4.76,False
grekis,grekis/XC946011_seg0.ogg,grekis/XC946011.ogg,0,30.0,14.434,False
grekis,grekis/XC285547_seg0.ogg,grekis/XC285547.ogg,0,30.0,17.614,False
grekis,grekis/XC730418_seg0.ogg,grekis/XC730418.ogg,0,24.163,0.878,False
grekis,grekis/iNat352815_seg0.ogg,grekis/iNat352815.ogg,0,24.497,4.443,False
grekis,grekis/iNat887898_seg0.ogg,grekis/iNat887898.ogg,0,19.458,4.184,False
grekis,grekis/iNat655330_seg0.ogg,grekis/iNat655330.ogg,0,16.276,0.9,False
grekis,grekis/iNat1163757_seg0.ogg,grekis/iNat1163757.ogg,0,30.0,5.82,False
grekis,grekis/XC248744_seg0.ogg,grekis/XC248744.ogg,0,16.875,1.199,False
grekis,grekis/iNat972855_seg0.ogg,grekis/iNat972855.ogg,0,30.0,6.949,False
grekis,grekis/iNat1137017_seg0.ogg,grekis/iNat1137017.ogg,0,12.678,4.881,False
grekis,grekis/XC270494_seg0.ogg,grekis/XC270494.ogg,0,22.282,6.305,False
grekis,grekis/iNat610120_seg0.ogg,grekis/iNat610120.ogg,0,30.0,9.255,False
grekis,grekis/XC211740_seg0.ogg,grekis/XC211740.ogg,0,27.22,4.655,False
grekis,grekis/iNat1417069_seg0.ogg,grekis/iNat1417069.ogg,0,16.013,2.94,False
grekis,grekis/iNat1266693_seg0.ogg,grekis/iNat1266693.ogg,0,20.505,14.523,False
grekis,grekis/iNat1624998_seg0.ogg,grekis/iNat1624998.ogg,0,30.0,16.201,False
